paintname,hex,place,modifier,longitude,latitude
Ōpononi,#d4cdc0,Ōpononi,,173.3917291,-35.5116663
Tōrere Quarter,#e2ddd3,Tōrere,Quarter,177.491325,-37.949759
Mason Bay,#d5ccbd,Mason Bay,,167.7090203,-46.9138463
Glinks Gully,#d6cec1,Glinks Gully,,173.8576382,-36.0811046
St Clair Quarter,#edefee,St Clair,Quarter,170.4891455,-45.9093912
Manorburn Half,#e2e3e2,Manorburn,Half,169.6169533,-45.3819503
Sandfly Point Quarter,#f2f1e9,Sandfly Point,Quarter,167.860564,-44.951564
Mt Aspiring,#e7e7e1,Mt Aspiring,,168.7279571,-44.3841635
Cardrona Half,#f2f0e9,Cardrona,Half,169.0005718,-44.8832724
Epsom,#efeae0,Epsom,,174.7734616,-36.8858447
Mt Hutt,#eae9e1,Mt Hutt,,171.5260623,-43.4714859
Hakataramea,#eceff0,Hakataramea,,170.4842387,-44.7219154
Southern Alps,#f7f8f4,Southern Alps,,169.5852659,-44.0180642
Haast Half,#e3e1da,Haast,Half,169.0420322,-43.8806582
Manorburn Quarter,#ecebe5,Manorburn,Quarter,169.4434008,-45.239622
Cape Colville Double,#d8cfbb,Cape Colville,Double,175.3446634,-36.4692206
Stockyard Point Half,#e2dbcc,Stockyard Point,Half,172.849667,-40.51775
Ngarunui Beach,#d6d2c8,Ngarunui Beach,,174.831995,-37.8128514
Kai Iwi Lakes,#d0cbc2,Kai Iwi Lakes,,173.6421008,-35.8146032
Kauri Cliffs Double,#c9beae,Kauri Cliffs,Double,173.9237415,-35.073337
Dannevirke,#eeebe2,Dannevirke,,176.0982442,-40.2073897
Sandspit,#f3ebd8,Sandspit,,174.727582,-36.3930812
Morrinsville,#f3eedf,Morrinsville,,175.5281399,-37.6581506
Haumoana,#e5ebef,Haumoana,,176.9457704,-39.6072711
Avalanche Creek,#d9dddf,Avalanche Creek,,171.5546779,-42.942382
Te Āpiti,#ecebe6,Te Āpiti,,175.79992,-40.3177572
Wairākei Double,#ddded6,Wairākei,Double,176.087083,-38.611694
Wairākei,#e6e6df,Wairākei,,176.1030355,-38.6193992
Hoon Hay,#b4ae98,Hoon Hay,,172.6087903,-43.564483
Remuera,#ebe9e0,Remuera,,174.8014178,-36.8759344
Ahipara Double,#e4e1d4,Ahipara,Double,173.1562074,-35.1664105
Ahipara Half,#eeebe0,Ahipara,Half,173.1469345,-35.1754824
Thorndon,#d5cbb9,Thorndon,,174.7756309,-41.2745396
Marton,#cac1ad,Marton,,175.3791977,-40.0722219
Waiau Bay,#dcd0bb,Waiau Bay,,174.7640775,-36.6181079
Muriwai Double,#cfc3aa,Muriwai,Double,174.4339345,-36.8246517
Tūpāroa,#d5d0be,Tūpāroa,,178.3870912,-37.9200121
Sandrock Bluff Double,#c9bca7,Sandrock Bluff,Double,168.2695888,-44.1247682
Pukekohe,#bfb5a6,Pukekohe,,174.9036875,-37.2006384
Linton,#cec2ab,Linton,,175.552844,-40.4305668
Haast Double,#d4ccbe,Haast,Double,169.2548101,-43.9424621
Haunui Half,#f0f0ed,Haunui,Half,176.0443211,-40.6068825
Foveaux Strait Half,#e0d9ca,Foveaux Strait,Half,168.3598392,-46.612088
Coopers Beach Double,#e9e0cb,Coopers Beach,Double,173.5068287,-34.9945196
Cardrona Double,#dfdace,Cardrona,Double,169.0645478,-44.8241301
Aoraki Quarter,#f0f1ec,Aoraki,Quarter,170.1421677,-43.5950017
Aoraki Double,#daddd7,Aoraki,Double,170.2410739,-43.6048727
Dingle Burn,#c1b298,Dingle Burn,,169.498071,-44.3868358
Ōreti Double,#cdbea6,Ōreti,Double,168.4421082,-45.7380383
Wharekauhau Quarter,#e8ddce,Wharekauhau,Quarter,175.0543703,-41.3563824
Little Manly Double,#efe8d7,Little Manly,Double,174.7584209,-36.6373222
Eastbourne,#ddd0b7,Eastbourne,,174.8984175,-41.2913416
Whāngārā Quarter,#ede5dc,Whāngārā,Quarter,178.2297407,-38.570603
Whāngārā Half,#e6dcd2,Whāngārā,Half,178.2355498,-38.5734294
Waiotapu,#d8ccc8,Waiotapu,,176.3620486,-38.3395138
Turoa Quarter,#e0e0dc,Turoa,Quarter,175.4067772,-39.4227725
St Clair Double,#d1d6d9,St Clair,Double,170.4907037,-45.9114627
Howick Quarter,#ece4d8,Howick,Quarter,174.9286061,-36.8956869
Howick,#ddd0bf,Howick,,174.8994161,-36.9238091
Garston,#e8ded8,Garston,,168.6842791,-45.4671892
Clarks Beach,#eae4cc,Clarks Beach,,174.7044928,-37.1368737
Castlepoint,#d2c1b2,Castlepoint,,176.2217236,-40.9008816
Ahipara,#eae8dd,Ahipara,,173.1320404,-35.1498809
Aoraki Half,#eaeeea,Aoraki,Half,170.0977232,-43.7349453
Treble Cone Half,#e7e6df,Treble Cone,Half,168.8728247,-44.6323751
Sandfly Point Half,#f2efe4,Sandfly Point,Half,166.632236,-46.0964679
Pūpū Springs,#dcd4c3,Pūpū Springs,,172.768685,-40.8478595
Muriwai Half,#e5ddca,Muriwai,Half,177.9231726,-38.7530673
Muriwai,#ddd2bb,Muriwai,,172.3071548,-43.864982
Duvauchelle,#ece7d9,Duvauchelle,,172.9445993,-43.7554266
Coopers Beach,#efebda,Coopers Beach,,173.5188316,-34.9878961
Ōkārito,#f1f2f1,Ōkārito,,170.214139,-43.1953256
Sandymount,#c0af9c,Sandymount,,170.6724353,-45.8911602
Lyttelton,#bebfba,Lyttelton,,172.7205727,-43.6024739
Maraetai,#747878,Maraetai,,175.0423717,-36.8807143
Franz Josef Quarter,#afb0ac,Franz Josef,Quarter,170.1819048,-43.3889668
Ti Point,#d7dad8,Ti Point,,174.08301,-35.271374
Manorburn Double,#d0d1ce,Manorburn,Double,169.4465061,-45.2389922
Manorburn,#dadad5,Manorburn,,169.4405999,-45.2340434
Pukeatua,#becac6,Pukeatua,,175.5592547,-38.0654408
Waipoua Forest,#3e3431,Waipoua Forest,,173.5772942,-35.635015
Te Kopua Beach,#35383f,Te Kopua Beach,,174.6440885,-36.886297
Fitzroy Beach,#9b9ea0,Fitzroy Beach,,174.0999384,-39.0418543
Greytown,#bbbfbd,Greytown,,175.460547,-41.0806338
Fernhill,#6d6c68,Fernhill,,176.7653746,-39.5956512
Bruce Bay,#a3a29f,Bruce Bay,,169.5917666,-43.5842248
Roys Peak,#cbc9c5,Roys Peak,,169.0487295,-44.6939981
Millwater,#c3c4c2,Millwater,,174.6704279,-36.6010745
Point Wells,#b1b4b3,Point Wells,,174.7567087,-36.3239444
Northlake,#666966,Northlake,,169.1597208,-44.6789175
Ōhakea,#8d96a0,Ōhakea,,175.3790426,-40.1976882
Fort Dorset,#8d98a1,Fort Dorset,,174.8360946,-41.3289876
Wharariki,#606a74,Wharariki,,172.6788609,-40.5027515
Spirits Bay,#a7abb2,Spirits Bay,,172.8308035,-34.4345835
Titirangi,#3a3e40,Titirangi,,174.657172,-36.9377516
Waikanae,#b6bdc3,Waikanae,,175.0643045,-40.8758432
Lake Wakatipu,#a3abb3,Lake Wakatipu,,168.5211108,-45.0888042
Rongotai,#585d67,Rongotai,,174.8004653,-41.322705
Cascade Cove,#3c3a3c,Cascade Cove,,166.5930147,-45.8038052
Monkey Island,#a8adb7,Monkey Island,,167.7283667,-46.3004661
Avalon,#b9bcc1,Avalon,,174.9442724,-41.1928328
Raurimu,#5a5c64,Raurimu,,175.395994,-39.1206606
Mt Hikurangi,#b6bec5,Mt Hikurangi,,178.0607394,-37.9189282
Balclutha,#a3acb5,Balclutha,,169.7398641,-46.2377982
Whakarewarewa Quarter,#b3afa8,Whakarewarewa,Quarter,176.256574,-38.1626866
Huapai,#635c61,Huapai,,174.5423206,-36.7705274
Golden Downs,#383c42,Golden Downs,,172.8848268,-41.542548
Lion Rock,#494d55,Lion Rock,,174.467021,-36.9539305
Stony River,#938f8a,Stony River,,173.9121203,-39.2356671
Stony River Half,#a6a29c,Stony River,Half,170.2602796,-44.3598097
Kingston Double,#808083,Kingston,Double,168.7175147,-45.3343708
Young Nicks Head,#7a7c7d,Young Nicks Head,,177.9722998,-38.7563948
Alligator Head Double,#847e7a,Alligator Head,Double,174.155028,-40.968556
Caroline Bay,#76808a,Caroline Bay,,171.2508847,-44.382599
Boulder Beach,#92908c,Boulder Beach,,170.612308,-45.8972773
Old Man Range,#504e4e,Old Man Range,,170.3687903,-43.9858366
Dark Cloud Range,#7f888f,Dark Cloud Range,,166.8696121,-45.8578985
Mt Albert,#c2bdb2,Mt Albert,,174.7155603,-36.8841665
Tory Channel,#555d66,Tory Channel,,174.2306948,-41.2391178
Skippers,#656c72,Skippers,,168.6879015,-44.8436978
The Octagon,#7b7f88,The Octagon,,170.5036127,-45.8740662
Reefton,#9399a4,Reefton,,171.8634561,-42.1159384
Northcote,#7c828e,Northcote,,174.745208,-36.8010871
Narrow Neck Double,#a6a499,Narrow Neck,Double,174.8013927,-36.8133725
Manawatū Gorge,#403d41,Manawatū Gorge,,175.7715655,-40.306929
Hunterville,#3c3538,Hunterville,,175.5680412,-39.9361379
Goose Bay,#a3acb5,Goose Bay,,173.5280492,-42.4778729
Conway Flat,#a8adb7,Conway Flat,,173.4576416,-42.6181228
Bethells Beach,#353434,Bethells Beach,,174.4445785,-36.8957959
Boulder Bay,#444c54,Boulder Bay,,174.8779853,-36.7685501
Āniwaniwa Double,#c7ccd1,Āniwaniwa,Double,177.1609304,-38.743648
Midhirst Double,#918b7f,Midhirst,Double,174.2653117,-39.2911749
Waitara Beach,#545657,Waitara Beach,,174.2314299,-38.9880528
Wigram,#3a393a,Wigram,,172.5462481,-43.5497926
Whakarewarewa Half,#9f9a92,Whakarewarewa,Half,176.5958418,-38.0345293
Tīrau Double,#ababa9,Tīrau,Double,169.1972881,-45.0371308
Te Kūiti,#242322,Te Kūiti,,175.1657117,-38.3341925
Narrow Neck Half,#cdcabf,Narrow Neck,Half,166.912652,-45.42701
Mt Inaccessible,#433f3b,Mt Inaccessible,,166.6358,-45.88097
Maraetai Half,#90938f,Maraetai,Half,175.7977701,-38.3770293
Kingston Half,#a9aaab,Kingston,Half,174.7647252,-41.3223122
Castlecliff,#4f504f,Castlecliff,,174.9835768,-39.9392955
Blackwood Bay,#2e2e2e,Blackwood Bay,,174.095113,-41.213491
The Remarkables,#494d53,The Remarkables,,168.7973254,-45.0820122
Taihape,#363535,Taihape,,175.7983062,-39.6766915
Shag Rock,#605c58,Shag Rock,,168.2718296,-46.5835919
Rāwene,#3c3e3f,Rāwene,,173.5060587,-35.3997951
Piha,#31363b,Piha,,174.4694742,-36.9556043
Grey Lynn,#babfc2,Grey Lynn,,174.7364178,-36.859922
Godley Head,#bab6b2,Godley Head,,172.8055315,-43.587304
Glenbrook,#454445,Glenbrook,,174.7602215,-37.1926213
Tīrau,#bdbebb,Tīrau,,175.7565366,-37.977214
Maraetai Quarter,#a5a8a5,Maraetai,Quarter,176.352278,-38.046056
Āniwaniwa,#d4d8dc,Āniwaniwa,,176.7871767,-38.325971
Amorino Park,#96a7a4,Amorino Park,,174.6977914,-36.6007997
Glen Murray,#a59788,Glen Murray,,174.9593139,-37.4475891
