paintname,hex
Ōpononi,#d4cdc0
Tōrere Quarter,#e2ddd3
Mason Bay,#d5ccbd
Glinks Gully,#d6cec1
Glinks Gully Double,#c9bdac
St Clair Quarter,#edefee
Manorburn Half,#e2e3e2
Sandfly Point Quarter,#f2f1e9
Mt Aspiring,#e7e7e1
Cardrona Half,#f2f0e9
Epsom,#efeae0
Mt Hutt,#eae9e1
Hakataramea,#eceff0
Mason Bay Quarter,#e8e2d6
Southern Alps,#f7f8f4
Ōpononi Quarter,#e7e2d8
Haast Half,#e3e1da
Manorburn Quarter,#ecebe5
Mt Aspiring Quarter,#f2f1e9
Cape Colville Double,#d8cfbb
Stockyard Point Half,#e2dbcc
Stockyard Point,#d8cebc
Ngarunui Beach,#d6d2c8
Kai Iwi Lakes,#d0cbc2
Kauri Cliffs Double,#c9beae
Kauri Cliffs Quarter,#eae3d8
Dannevirke,#eeebe2
Kauri Cliffs,#d8cdbe
Sandspit,#f3ebd8
Morrinsville,#f3eedf
Haumoana,#e5ebef
Avalanche Creek,#d9dddf
Te Āpiti,#ecebe6
Wairākei Double,#ddded6
Wairākei,#e6e6df
Hoon Hay,#b4ae98
Remuera,#ebe9e0
Ahipara Double,#e4e1d4
Ahipara Half,#eeebe0
Thorndon,#d5cbb9
Marton,#cac1ad
Waiau Bay,#dcd0bb
Muriwai Double,#cfc3aa
Tūpāroa,#d5d0be
Kauri Cliffs Half,#e3dacc
Waiau Bay Half,#e5dccb
Sandrock Bluff Double,#c9bca7
Pukekohe,#bfb5a6
Tōrere Double,#bdb3a6
Morrinsville Double,#efe5d1
Mt Aspiring Double,#deded7
Mason Bay Double,#c7bdab
Hoon Hay Half,#c6bda7
Linton,#cec2ab
Haast Double,#d4ccbe
Haunui Half,#f0f0ed
Foveaux Strait Half,#e0d9ca
Foveaux Strait Double,#c9bfaa
Dannevirke Double,#e7e3d9
Coopers Beach Double,#e9e0cb
Cardrona Double,#dfdace
Aoraki Quarter,#f0f1ec
Aoraki Double,#daddd7
Dingle Burn,#c1b298
Ōreti Double,#cdbea6
Epsom Double,#e9e1d4
Wharekauhau Quarter,#e8ddce
Little Manly Double,#efe8d7
Eastbourne,#ddd0b7
Whāngārā Quarter,#ede5dc
Whāngārā Half,#e6dcd2
Waiotapu,#d8ccc8
Turoa Quarter,#e0e0dc
Waiau Bay Quarter,#ece5d7
St Clair Double,#d1d6d9
Sandrock Bluff Half,#e2dbcc
Howick Quarter,#ece4d8
Howick,#ddd0bf
Howick Half,#e5dbcd
Garston,#e8ded8
Foveaux Strait Quarter,#e6e3d8
Foveaux Strait,#d4cebe
Clarks Beach,#eae4cc
Castlepoint,#d2c1b2
Cape Colville,#e3dece
Ahipara,#eae8dd
Aoraki Half,#eaeeea
Treble Cone Half,#e7e6df
Sandfly Point Half,#f2efe4
Pūpū Springs,#dcd4c3
Ōpononi Double,#c6beaf
Ōpononi Half,#dfdad0
Mt Aspiring Half,#edede5
Glinks Gully Quarter,#e7e1d5
Glinks Gully Half,#e0d8cb
Aoraki,#e4e6df
St Clair,#dfe2e4
St Clair Half,#e7eaea
Sandrock Bluff,#d8cfbd
Sandfly Point Double,#e8e4d6
Muriwai Half,#e5ddca
Muriwai,#ddd2bb
Mason Bay Half,#e0dace
Haast,#dfdace
Duvauchelle,#ece7d9
Coopers Beach,#efebda
Tōrere Half,#d8d2c8
Tōrere,#ccc4b9
Cardrona,#eeece5
Sandfly Point,#eeebdf
Ōkārito,#f1f2f1
Little Manly,#f2efe2
Marton Double,#baaf99
Sandymount,#c0af9c
Sandrock Bluff Quarter,#eae4d8
Lyttelton,#bebfba
Lyttelton Quarter,#dbdad5
Maraetai,#747878
Franz Josef Quarter,#afb0ac
Ti Point,#d7dad8
Manorburn Double,#d0d1ce
Manorburn,#dadad5
Pukeatua,#becac6
Waipoua Forest,#3e3431
Te Kopua Beach,#35383f
Fitzroy Beach,#9b9ea0
Greytown,#bbbfbd
Fernhill,#6d6c68
Bruce Bay,#a3a29f
Roys Peak,#cbc9c5
Millwater,#c3c4c2
Point Wells,#b1b4b3
Northlake,#666966
Ōhakea,#8d96a0
Fort Dorset,#8d98a1
Wharariki,#606a74
Spirits Bay,#a7abb2
Titirangi,#3a3e40
Waikanae,#b6bdc3
Lake Wakatipu,#a3abb3
Rongotai,#585d67
Cascade Cove,#3c3a3c
Monkey Island,#a8adb7
Avalon,#b9bcc1
Spirits Bay Double,#91969f
Raurimu,#5a5c64
Mt Hikurangi,#b6bec5
Balclutha,#a3acb5
Whakarewarewa Quarter,#b3afa8
Franz Josef Half,#9c9d9a
Spirits Bay Half,#b6b9bd
Huapai,#635c61
Golden Downs,#383c42
Lion Rock,#494d55
Stony River,#938f8a
Stony River Half,#a6a29c
Ōhakea Quarter,#b3babf
Kingston Double,#808083
Young Nicks Head,#7a7c7d
Alligator Head Double,#847e7a
Caroline Bay,#76808a
Boulder Beach,#92908c
Old Man Range,#504e4e
Dark Cloud Range,#7f888f
Mt Albert,#c2bdb2
Tory Channel,#555d66
Skippers,#656c72
The Octagon,#7b7f88
Reefton,#9399a4
Northcote,#7c828e
Narrow Neck Double,#a6a499
Manawatū Gorge,#403d41
Hunterville,#3c3538
Goose Bay,#a3acb5
Conway Flat,#a8adb7
Bethells Beach,#353434
Boulder Bay,#444c54
